date,slug,techTierSlug,c,perc
2024-07-13,airship,starforge,543,0.43370607028753994
2024-07-13,artillery,advancedstarforge,28,0.022364217252396165
2024-07-13,assaultbot,advancedfoundry,113,0.0902555910543131
2024-07-13,beetle,core,8,0.006389776357827476
2024-07-13,behemoth,advancedfoundry,155,0.12380191693290735
2024-07-13,blink,core,133,0.1062300319488818
2024-07-13,blinkhunter,core,473,0.3777955271565495
2024-07-13,bomber,foundry,59,0.04712460063897764
2024-07-13,bulwark,advancedstarforge,47,0.037539936102236424
2024-07-13,butterfly,starforge,159,0.1269968051118211
2024-07-13,crab,core,55,0.0439297124600639
2024-07-13,crusader,foundry,281,0.2244408945686901
2024-07-13,destroyer,foundry,515,0.41134185303514376
2024-07-13,dragonfly,starforge,407,0.3250798722044728
2024-07-13,falcon,starforge,410,0.3274760383386581
2024-07-13,gunbot,core,158,0.12619808306709265
2024-07-13,heavyballista,advancedfoundry,491,0.39217252396166136
2024-07-13,heavyhunter,foundry,239,0.19089456869009586
2024-07-13,heavyturret,starforge,19,0.015175718849840255
2024-07-13,hornet,core,191,0.152555910543131
2024-07-13,hunter,core,3,0.0023961661341853034
2024-07-13,katbus,advancedstarforge,336,0.268370607028754
2024-07-13,kingcrab,foundry,433,0.34584664536741216
2024-07-13,kraken,advancedstarforge,30,0.023961661341853034
2024-07-13,locust,advancedstarforge,165,0.13178913738019168
2024-07-13,mammoth,starforge,470,0.3753993610223642
2024-07-13,missilebot,core,137,0.10942492012779553
2024-07-13,mortar,foundry,354,0.2827476038338658
2024-07-13,predator,advancedfoundry,81,0.06469648562300319
2024-07-13,raider,foundry,4,0.003194888178913738
2024-07-13,recall,core,367,0.29313099041533547
2024-07-13,recallhunter,core,169,0.13498402555910544
2024-07-13,recallshocker,foundry,42,0.03354632587859425
2024-07-13,scorpion,core,586,0.4680511182108626
2024-07-13,shocker,foundry,360,0.28753993610223644
2024-07-13,sniper,advancedfoundry,225,0.17971246006389777
2024-07-13,stinger,starforge,160,0.12779552715654952
2024-07-13,swiftshocker,foundry,91,0.07268370607028754
2024-07-13,turret,foundry,2,0.001597444089456869
2024-07-13,valkyrie,advancedstarforge,688,0.549520766773163
2024-07-13,wasp,core,224,0.17891373801916932
2024-07-14,advancedblink,advancedfoundry,267,0.27192870782940803
2024-07-14,advancedbot,advancedstarforge,35,0.03564608529598982
2024-07-14,advancedrecall,starforge,144,0.14665817950350096
2024-07-14,airship,starforge,433,0.4409929980903883
2024-07-14,artillery,advancedstarforge,34,0.03462762571610439
2024-07-14,assaultbot,advancedfoundry,84,0.08555060471037555
2024-07-14,ballista,foundry,2,0.0020369191597708466
2024-07-14,beetle,core,12,0.01222151495862508
2024-07-14,behemoth,advancedfoundry,124,0.1262889879057925
2024-07-14,blink,core,96,0.09777211966900064
2024-07-14,blinkhunter,core,351,0.3574793125397836
2024-07-14,bomber,foundry,35,0.03564608529598982
2024-07-14,bulwark,advancedstarforge,18,0.01833227243793762
2024-07-14,butterfly,starforge,92,0.09369828134945894
2024-07-14,crab,core,35,0.03564608529598982
2024-07-14,crusader,foundry,195,0.19859961807765755
2024-07-14,destroyer,foundry,394,0.4012730744748568
2024-07-14,dragonfly,starforge,360,0.3666454487587524
2024-07-14,falcon,starforge,335,0.3411839592616168
2024-07-14,gunbot,core,112,0.1140674729471674
2024-07-14,heavyballista,advancedfoundry,347,0.3534054742202419
2024-07-14,heavyhunter,foundry,209,0.21285805219605347
2024-07-14,heavyturret,starforge,23,0.023424570337364736
2024-07-14,hornet,core,153,0.15582431572246977
2024-07-14,katbus,advancedstarforge,311,0.31674092934436665
2024-07-14,kingcrab,foundry,402,0.40942075111394016
2024-07-14,kraken,advancedstarforge,36,0.03666454487587524
2024-07-14,locust,advancedstarforge,101,0.10286441756842775
2024-07-14,mammoth,starforge,330,0.3360916613621897
2024-07-14,missilebot,core,69,0.0702737110120942
2024-07-14,mortar,foundry,290,0.29535327816677276
2024-07-14,predator,advancedfoundry,79,0.08045830681094844
2024-07-14,raider,foundry,3,0.00305537873965627
2024-07-14,recall,core,325,0.3309993634627626
2024-07-14,recallhunter,core,192,0.19554423933800127
2024-07-14,recallshocker,foundry,41,0.04175684277530235
2024-07-14,scorpion,core,437,0.44506683640993
2024-07-14,shocker,foundry,241,0.245448758752387
2024-07-14,sniper,advancedfoundry,185,0.1884150222788033
2024-07-14,stinger,starforge,108,0.10999363462762572
2024-07-14,swiftshocker,foundry,45,0.04583068109484405
2024-07-14,turret,foundry,3,0.00305537873965627
2024-07-14,valkyrie,advancedstarforge,585,0.5957988542329726
2024-07-14,wasp,core,182,0.18535964353914705
2024-07-15,advancedblink,advancedfoundry,299,0.29227761485826004
2024-07-15,advancedbot,advancedstarforge,34,0.033235581622678395
2024-07-15,advancedrecall,starforge,184,0.1798631476050831
2024-07-15,airship,starforge,458,0.447702834799609
2024-07-15,artillery,advancedstarforge,43,0.042033235581622676
2024-07-15,assaultbot,advancedfoundry,48,0.0469208211143695
2024-07-15,beetle,core,9,0.008797653958944282
2024-07-15,behemoth,advancedfoundry,116,0.11339198435972629
2024-07-15,blink,core,106,0.10361681329423265
2024-07-15,blinkhunter,core,412,0.4027370478983382
2024-07-15,bomber,foundry,28,0.02737047898338221
2024-07-15,bulwark,advancedstarforge,23,0.022482893450635387
2024-07-15,butterfly,starforge,147,0.1436950146627566
2024-07-15,crab,core,36,0.03519061583577713
2024-07-15,crusader,foundry,187,0.1827956989247312
2024-07-15,destroyer,foundry,504,0.49266862170087977
